t,angII,angII_norm,diacid,ang17,at1r,at2r,ACE2,IR
4.242,22.493439594245867,107.10142385260598,0.0,220.4403222523026,429.23271491361857,162.80969185871777,6.490257913047001,46.64694797574738
4.244000000000001,22.493442020900744,107.1014354070057,0.0,220.44037050559749,429.2327630766779,162.80971012715958,6.490259102282831,46.649956256378324
4.2459999999999996,22.49344444298121,107.1014469396246,0.0,220.44041867140228,429.23281114914164,162.80972836123823,6.490260289340629,46.65295982625284
4.248,22.4934468602638,107.10145844939862,0.0,220.4404667452465,429.2328591265765,162.809746559272,6.4902614741087055,46.65595869255282
4.25,22.49344927252342,107.10146993525606,0.0,220.44051472262854,429.2329070045181,162.80976471956754,6.490262656474594,46.65895286242206
4.252,22.493451679533443,107.10148139611779,0.0,220.44056259901532,429.23295477847097,162.8097828404198,6.49026383632505,46.661942342966206
4.2540000000000004,22.49345408106568,107.10149283089727,0.0,220.44061036984291,429.2330024439086,162.80980092011183,6.490265013546057,46.66492714125281
4.256,22.49345647689036,107.10150423850051,0.0,220.44065803051566,429.23304999627373,162.80981895691482,6.490266188022817,46.66790726431131
4.258,22.49345886677615,107.10151561782604,0.0,220.44070557640705,429.2330974309773,162.80983694908844,6.49026735963976,46.67088271913302
4.260000000000001,22.493461250490178,107.10152696776498,0.0,220.4407530028592,429.2331447434,162.80985489488037,6.490268528280538,46.67385351267112
4.262,22.493463627797972,107.101538287201,0.0,220.440800305183,429.23319192889096,162.8098727925266,6.490269693828026,46.67681965184074
4.264,22.493465998463506,107.1015495750102,0.0,220.44084747865801,429.23323898276857,162.80989064025133,6.490270856164326,46.67978114351883
4.266,22.49346836224921,107.10156083006139,0.0,220.44089451853276,429.23328590031997,162.809908436267,6.4902720151707625,46.68273799454425
4.268,22.493470718915912,107.10157205121583,0.0,220.4409414200243,429.2333326768013,162.80992617877422,6.490273170727881,46.68569021171772
4.2700000000000005,22.493473068222908,107.10158323732735,0.0,220.4409881783186,429.23337930743776,162.80994386596183,6.490274322715454,46.68863780180191
4.272,22.49347540992791,107.10159438724239,0.0,220.44103478857028,429.2334257874232,162.80996149600702,6.4902754710124775,46.69158077152129
4.274,22.49347774378708,107.10160549979983,0.0,220.4410812459029,429.23347211192083,162.809979067075,6.490276615497169,46.69451912756229
4.276,22.493480069554995,107.1016165738312,0.0,220.4411275454085,429.2335182760626,162.8099965773193,6.490277756046975,46.69745287657317
4.278,22.493482386984677,107.10162760816044,0.0,220.4411736821482,429.23356427494934,162.81001402488178,6.49027889253856,46.70038202516412
4.28,22.493484695827593,107.10163860160424,0.0,220.44121965115164,429.233610103651,162.81003140789232,6.490280024847816,46.703306579907164
4.282,22.493486995833628,107.10164955297165,0.0,220.4412654474173,429.2336557572064,162.81004872446914,6.490281152849856,46.70622654733626
4.284,22.493489286751114,107.10166046106436,0.0,220.44131106591243,429.2337012306231,162.81006597271872,6.490282276419021,46.709141933947215
4.2860000000000005,22.49349156832681,107.1016713246766,0.0,220.44135650157307,429.2337465188781,162.81008315073564,6.490283395428873,46.71205274619775
4.288,22.493493840305927,107.1016821425952,0.0,220.44140174930394,429.23379161691696,162.81010025660282,6.490284509752196,46.714958990507455
4.29,22.493496102432076,107.10169291359936,0.0,220.44144680397858,429.2338365196542,162.81011728839127,6.490285619261003,46.7178606732578
4.292,22.49349835444735,107.1017036364611,0.0,220.44149166043928,429.23388122197343,162.81013424416045,6.490286723826526,46.720757800792136
4.294,22.49350059609223,107.10171430994468,0.0,220.44153631349707,429.23392571872733,162.81015112195777,6.490287823319223,46.723650379415744
4.296,22.493502827105665,107.10172493280714,0.0,220.44158075793177,429.23397000473716,162.81016791981907,6.490288917608777,46.726538415395716
4.298,22.493505047225025,107.10173550379803,0.0,220.44162498849192,429.2340140747934,162.8101846357683,6.490290006564093,46.72942191496111
4.3,22.49350725618612,107.10174602165937,0.0,220.4416689998949,429.2340579236555,162.81020126781766,6.490291090053301,46.73230088430279
4.3020000000000005,22.493509453723192,107.10175648512576,0.0,220.4417127868267,429.2341015460516,162.81021781396763,6.4902921679437515,46.735175329573565
4.304,22.493511639568915,107.10176689292436,0.0,220.44175634394236,429.23414493667923,162.81023427220683,6.490293240102025,46.738045256888086
4.306,22.493513813454413,107.10177724377495,0.0,220.44179966586523,429.2341880902044,162.8102506405121,6.4902943063939205,46.74091067232294
4.308,22.493515975109226,107.10178753638968,0.0,220.44184274718793,429.2342310012624,162.8102669168486,6.490295366684464,46.74377158191654
4.31,22.49351812426134,107.10179776947344,0.0,220.44188558247134,429.23427366445725,162.81028309916957,6.490296420837902,46.74662799166923
4.312,22.493520260637165,107.10180794172352,0.0,220.44192816624553,429.23431607436214,162.8102991854167,6.49029746871771,46.74947990754322
4.314,22.49352238396157,107.1018180518299,0.0,220.44197049300902,429.2343582255189,162.81031517351963,6.490298510186582,46.752327335462596
4.316,22.49352449395782,107.10182809847495,0.0,220.44201255722936,429.23440011243883,162.81033106139637,6.490299545106439,46.75517028131335
4.3180000000000005,22.493526590347663,107.10183808033369,0.0,220.44205435334268,429.23444172960154,162.8103468469532,6.490300573338424,46.75800875094333
4.32,22.49352867285124,107.10184799607367,0.0,220.44209587575378,429.23448307145617,162.81036252808445,6.490301594742909,46.760842750162325
4.322,22.49353074118716,107.10185784435504,0.0,220.4421371188365,429.23452413242035,162.81037810267287,6.490302609179481,46.763672284741936
4.324,22.493532795072433,107.10186762383034,0.0,220.44217807693323,429.23456490688085,162.81039356858935,6.490303616506957,46.7664973604157
4.326,22.493534834222526,107.10187733314483,0.0,220.44221874435522,429.2346053891936,162.81040892369293,6.490304616583378,46.769317982879016
4.328,22.49353685835135,107.10188697093623,0.0,220.44225911538237,429.23464557368305,162.81042416583094,6.490305609266004,46.77213415778918
4.33,22.493538867171228,107.10189653583487,0.0,220.44229918426353,429.23468545464306,162.81043929283896,6.490306594411326,46.774945890765366
4.332,22.493540860392937,107.10190602646352,0.0,220.44233894521602,429.23472502633587,162.81045430254085,6.490307571875054,46.77775318738864
4.3340000000000005,22.493542837725663,107.10191544143758,0.0,220.4423783924262,429.23476428299335,162.8104691927484,6.49030854151212,46.78055605320194
4.336,22.49354479887706,107.10192477936506,0.0,220.4424175200491,429.2348032188159,162.81048396126204,6.490309503176687,46.78335449371011
4.338,22.493546743553196,107.10193403884634,0.0,220.44245632220847,429.2348418279729,162.8104986058701,6.490310456722133,46.786148514379846
4.34,22.49354867145858,107.1019432184745,0.0,220.44249479299683,429.2348801046027,162.81051312434923,6.490311402001068,46.78893812063977
4.342,22.49355058229615,107.10195231683512,0.0,220.44253292647548,429.23491804281275,162.81052751446444,6.490312338865322,46.79172331788037
4.344,22.493552475767295,107.10196133250629,0.0,220.44257071667445,429.2349556366791,162.81054177396862,6.490313267165948,46.794504111453975
4.346,22.493554351571817,107.10197026405875,0.0,220.44260815759262,429.23499288024726,162.81055590060333,6.490314186753222,46.797280506674895
4.348,22.493556209407974,107.10197911005568,0.0,220.44264524319755,429.23502976753133,162.810569892098,6.49031509747665,46.800052508819235
4.3500000000000005,22.493558048972446,107.10198786905285,0.0,220.44268196742547,429.2350662925144,162.81058374617047,6.490315999184955,46.802820123125045
4.352,22.493559869960343,107.1019965395986,0.0,220.44271832418164,429.2351024491485,162.81059746052674,6.4903168917260885,46.80558335479222
4.354,22.493561672065233,107.1020051202338,0.0,220.44275430733978,429.23513823135477,162.81061103286092,6.490317774947221,46.80834220898256
4.356,22.493563454979093,107.10201360949185,0.0,220.4427899107426,429.23517363302324,162.81062446085565,6.4903186486947515,46.811096690819745
4.358,22.493565218392355,107.10202200589873,0.0,220.44282512820138,429.2352086480127,162.81063774218143,6.4903195128143025,46.81384680538933
4.36,22.493566961993874,107.10203030797297,0.0,220.44285995349637,429.2352432701512,162.81065087449727,6.490320367150716,46.816592557738794
4.362,22.49356868547094,107.1020385142256,0.0,220.4428943803764,429.2352774932355,162.8106638554502,6.490321211548061,46.81933395287745
4.364,22.493570388509283,107.10204662316025,0.0,220.44292840255912,429.2353113110314,162.81067668267565,6.4903220458496325,46.82207099577652
4.3660000000000005,22.49357207079307,107.10205463327304,0.0,220.442962013731,429.2353447172736,162.81068935379713,6.490322869897946,46.82480369136913
4.368,22.493573732004897,107.10206254305277,0.0,220.44299520754717,429.2353777056658,162.81070186642637,6.49032368353474,46.82753204455024
