,t,Pra,Prv,Pla,Plv,Vra,Vrv,Vla,Vlv,Vpap,Vpad,Vpa,Vpc,Vpv,Ppap,Ppad,Ppa,Ppc,Ppv,Vsa,Vsap,Vsc,Vsv,Psa,Psap,Psc,Psv
0,0.7792207790000001,3.909417808402626,4.016867879168875,7.1502887771667485,11.946746514952277,77.2392888,177.14423541,60.99697623,126.53255174,30.43790817,59.76546862,51.49758158,104.87877646,307.91244142,16.448004105152503,17.97752315282936,14.370758665434339,10.747776083197115,6.914355790809741,522.12606521,191.09054537,256.06464838,2942.0057,92.90823827965434,121.08293020587226,41.66490939680179,17.871527248324902
1,0.7792207790044966,3.9094178084956877,4.016867879406032,7.150288773436108,11.946746516794176,77.23928880024832,177.14423541,60.99697621939124,126.53255174,30.437908169908546,59.76546861991273,51.49758157988273,104.8787764597483,307.9124414311564,16.448004108891695,17.977523133903876,14.3707586653852,10.747776083161265,6.914355791086906,522.1260652518843,191.09054532818064,256.0646483796525,2942.0057000002826,92.90823841040509,121.08293016921954,41.66490939672355,17.871527248331653
2,0.7792207790044966,3.9094178084956877,4.016867879406032,7.150288773436108,11.946746516794176,77.23928880024832,177.14423541,60.99697621939124,126.53255174,30.437908169908546,59.76546861991273,51.49758157988273,104.8787764597483,307.9124414311564,16.448004108891695,17.977523133903876,14.3707586653852,10.747776083161265,6.914355791086906,522.1260652518843,191.09054532818064,256.0646483796525,2942.0057000002826,92.90823841040509,121.08293016921954,41.66490939672355,17.871527248331653
3,0.7792207790089931,3.909417808588749,4.016867879643191,7.150288769705471,11.94674651863609,77.23928880049664,177.14423541,60.99697620878249,126.53255174,30.437908169817092,59.76546861982546,51.49758157976545,104.87877645949659,307.91244144231285,16.44800411263089,17.97752311497839,14.37075866533606,10.747776083125416,6.914355791364072,522.1260652937685,191.09054528636128,256.064648379305,2942.005700000565,92.90823854115578,121.08293013256683,41.66490939664531,17.871527248338392
4,0.7792207790089931,3.909417808588749,4.016867879643191,7.150288769705471,11.94674651863609,77.23928880049664,177.14423541,60.99697620878249,126.53255174,30.437908169817092,59.76546861982546,51.49758157976545,104.87877645949659,307.91244144231285,16.44800411263089,17.97752311497839,14.37075866533606,10.747776083125416,6.914355791364072,522.1260652937685,191.09054528636128,256.064648379305,2942.005700000565,92.90823854115578,121.08293013256683,41.66490939664531,17.871527248338392
5,0.7792208239741124,3.9094187391980424,4.016870251233006,7.150251466725807,11.946764937737834,77.23929128364877,177.14423541,60.996870130247984,126.53255174,30.437907255284713,59.76546774714292,51.49758040704708,104.87877394251407,307.91255299776316,16.448041501765665,17.9773338705694,14.370758173962448,10.747775724630156,6.914358562797592,522.1264841244463,191.09012710520415,256.0646449043777,2942.0057028228402,92.909546014173,121.08256361634659,41.66490861420829,17.871527315750246
6,0.7792208239741124,3.9094187391980424,4.016870251233006,7.1502514667255,11.946764937737834,77.23929128364877,177.14423541,60.996870130247174,126.53255174,30.437907255284713,59.76546774714292,51.49758040704708,104.87877394251407,307.91255299776395,16.44804150176583,17.97733387056881,14.370758173962448,10.747775724630156,6.914358562797611,522.1264841244466,191.09012710520398,256.0646449043777,2942.0057028228402,92.90954601417405,121.08256361634645,41.66490861420829,17.871527315750246
7,0.7792208689392317,3.909419669806507,4.0168726228269644,7.150214170566737,11.946783356872249,77.23929376679952,177.14423541,60.99676406973136,126.53255174,30.43790634076952,59.76546687441793,51.49757923435411,104.87877142553586,307.91266453519114,16.448078885259893,17.97714464701966,14.37075768259948,10.74777536613551,6.914361333783373,522.1269029299461,191.08970894880625,256.0646414295388,2942.005705645115,92.91085341572006,121.08219712182667,41.66490783179118,17.87152738316207
8,0.7792208689392317,3.909419669806507,4.0168726228269644,7.150214170566117,11.946783356872249,77.23929376679952,177.14423541,60.99676406972973,126.53255174,30.43790634076952,59.76546687441793,51.49757923435411,104.87877142553586,307.9126645351928,16.448078885260223,17.97714464701848,14.37075768259948,10.74777536613551,6.914361333783414,522.1269029299468,191.0897089488059,256.0646414295388,2942.005705645115,92.91085341572217,121.08219712182637,41.66490783179118,17.87152738316207
9,0.779220913904351,3.9094206004141396,4.01687499442506,7.150176881226702,11.946801776039297,77.2392962499489,177.14423541,60.99665802722853,126.53255174,30.437905426271506,59.76546600165051,51.497578061686546,104.87876890856195,307.9127760546009,16.448116263114397,17.976955444326226,14.370757191247154,10.74777500764148,6.914364104321517,522.1273217102698,191.08929081716667,256.06463795478834,2942.00570846739,92.91216074580103,121.08183064900625,41.664907049393975,17.871527450573897
10,0.779220913904351,3.9094206004141396,4.01687499442506,7.150176881226082,11.946801776039297,77.2392962499489,177.14423541,60.99665802722689,126.53255174,30.437905426271506,59.76546600165051,51.497578061686546,104.87876890856195,307.91277605460255,16.44811626311473,17.976955444325043,14.370757191247154,10.74777500764148,6.9143641043215585,522.1273217102705,191.08929081716633,256.06463795478834,2942.00570846739,92.91216074580316,121.08183064900595,41.664907049393975,17.871527450573897
11,0.7792213635555435,3.909429906444809,4.016898710633755,7.149804362649693,11.946985969505835,77.239321081367,177.14423541,60.99559859236737,126.53255174,30.437896282235748,59.76545727164302,51.49756633640737,104.87874373905936,307.9138902582871,16.44848973159391,17.975064564061956,14.370752278309032,10.747771422734838,6.914391785097628,522.1315081290757,191.08511086235174,256.0646032121451,2942.0057366901246,92.92523011651693,121.078167114164,41.66489922651661,17.871528124691878
