,t,I,G,beta,IR,MTOR,Tt,C
0,0.0,13.59,100.0,407.73,0.359,14.465,1.0,0.0
1,3.162277596922828e-05,13.590036634840324,100.00948430577198,407.73000004402047,0.35893465850371026,14.46500255690026,1.0000005090697195,3.162277596922828e-05
2,6.324555193845656e-05,13.590095931288056,100.01896605988513,407.7300001320438,0.35886949659601963,14.465007054953709,1.0000010182601804,6.324555193845656e-05
3,0.0010632455519384565,13.60133155178664,100.31737884952442,407.7300247638928,0.35689596121622774,14.46611861851137,1.000017180349939,0.0010632455519384565
4,0.0020632455519384568,13.627830441525703,100.6126775916742,407.7300927794184,0.35509126848587386,14.469159347803467,1.0000334619561648,0.0020632455519384568
5,0.0030632455519384568,13.663792060520947,100.90443802793449,407.73020352848334,0.3534451930445848,14.474093344226432,1.0000498617378946,0.0030632455519384568
6,0.004063245551938457,13.705486023130241,101.19241779615241,407.73035631727043,0.35194818807581313,14.480853596098038,1.000066378205233,0.004063245551938457
7,0.005063245551938457,13.750640496374839,101.47650301445776,407.7305504270282,0.3505913188847342,14.489353050765985,1.0000830097707756,0.005063245551938457
8,0.006063245551938457,13.79778821616705,101.75664969974174,407.73078513403743,0.34936619078978226,14.499496551522695,1.0000997548053734,0.006063245551938457
9,0.007063245551938457,13.845965667250457,102.0328569166028,407.73105971849503,0.3482649029434793,14.511186154632954,1.0001166116638038,0.007063245551938457
10,0.008063245551938457,13.894546716301917,102.30515195718965,407.731373469159,0.347280012097901,14.524323926565067,1.0001335786989143,0.008063245551938457
11,0.009063245551938458,13.94312812064903,102.57358008802147,407.73172568636136,0.34640450108152054,14.53881378365999,1.0001506542713365,0.009063245551938458
12,0.010063245551938459,13.991451967973838,102.83819757718891,407.7321156838656,0.34563175098195953,14.554562651587378,1.000167836756014,0.010063245551938459
13,0.01106324555193846,14.03935506393582,103.09906714042188,407.7325427898852,0.3449555163354925,14.571481130017633,1.0001851245463793,0.01106324555193846
14,0.01206324555193846,14.08673602320354,103.35625498560432,407.73300634755805,0.34436990266866074,14.589483835961534,1.000202516056968,0.01206324555193846
15,0.013063245551938461,14.133533756311703,103.60982889120162,407.7335057150762,0.34386934592285606,14.60848954433792,1.0002200097250202,0.013063245551938461
16,0.014063245551938462,14.179713387246188,103.85985696229423,407.7340402655976,0.34344859344287615,14.628421200225619,1.0002376040114072,0.014063245551938462
17,0.015063245551938463,14.225257042360369,104.10640683307216,407.7346093870213,0.3431026863024773,14.64920585076726,1.0002552974011143,0.015063245551938463
18,0.016063245551938464,14.27015782879589,104.34954516301512,407.7352124816781,0.3428269427990113,14.670774528137166,1.0002730884034274,0.016063245551938464
19,0.017063245551938465,14.314415899076497,104.58933732595263,407.7358489659734,0.3426169429894979,14.693062104052169,1.0002909755519198,0.017063245551938465
20,0.018063245551938466,14.35803588029312,104.82584722569717,407.7365182700028,0.34246851416824303,14.716007129079033,1.000308957404309,0.018063245551938466
21,0.019063245551938467,14.401024105009075,105.05912956303868,407.7372199060027,0.34237819255735225,14.739558648212212,1.0003270327177018,0.019063245551938467
22,0.020063245551938468,14.443390756909164,105.28925573527951,407.73795323587683,0.34234157072588717,14.763651914044878,1.0003451998573858,0.020063245551938468
23,0.02106324555193847,14.485146087591383,105.51628209158416,407.73871775234096,0.3423553214746747,14.788238198699021,1.0003634575127598,0.02106324555193847
24,0.02206324555193847,14.52630088553854,105.74026607960037,407.73951293639493,0.3424161356780278,14.813269150975481,1.0003818043355142,0.02206324555193847
25,0.02306324555193847,14.566866722032998,105.96126803882201,407.74033823926084,0.3425206431034328,14.83869568948229,1.0004002388911704,0.02306324555193847
26,0.02406324555193847,14.606853571109443,106.17933745874834,407.74119320805715,0.3426661698537161,14.864479014834501,1.0004187599883871,0.02406324555193847
27,0.025063245551938472,14.646272259704753,106.39452714242418,407.7420773577963,0.34284993120631724,14.890578834802431,1.0004373663451427,0.025063245551938472
28,0.026063245551938473,14.68513345789848,106.60688841798041,407.74299021417096,0.3430692999218899,14.916957284271266,1.0004560567008398,0.026063245551938473
29,0.027063245551938474,14.723447635073288,106.816471177627,407.7439313132419,0.34332179826017745,14.943578804342305,1.0004748298159725,0.027063245551938474
30,0.028063245551938475,14.761225029059327,107.02332393094036,407.7449002011005,0.3436050891544849,14.970410006846233,1.000493684471682,0.028063245551938475
31,0.029063245551938476,14.798475631229238,107.22749385094096,407.74589643356245,0.343916968525157,14.997419556163315,1.000512619469376,0.029063245551938476
32,0.030063245551938476,14.835209180858865,107.42902681974941,407.74691957587316,0.34425535801498225,15.024578057052484,1.0005316336303496,0.030063245551938476
33,0.031063245551938477,14.871435164492258,107.62796747341373,407.7479692024241,0.3446182981202219,15.05185794822483,1.0005507257954123,0.031063245551938477
34,0.03206324555193848,14.907162818532289,107.82435924571449,407.7490448964799,0.34500394169562315,15.079233401418058,1.0005698948245205,0.03206324555193848
35,0.03306324555193848,14.942401133919063,108.01824441083015,407.7501462499159,0.34541054781258906,15.10668022571925,1.000589139596415,0.03306324555193848
36,0.03406324555193848,14.977158862084112,108.20966412478246,407.75127286296504,0.3458364759509123,15.134175776889192,1.0006084590082645,0.03406324555193848
37,0.03506324555193848,15.01144452164072,108.3986584656139,407.7524243439753,0.34628018050563525,15.161698871448053,1.0006278519753156,0.03506324555193848
38,0.03606324555193848,15.045266405461676,108.58526647227276,407.75360030917534,0.34674020559167557,15.189229705289891,1.0006473174305495,0.03606324555193848
39,0.03706324555193848,15.078632587918232,108.76952618219772,407.75480038244973,0.3472151801298622,15.216749776602093,1.000666854324345,0.03706324555193848
