t,angI,Inhibition,Renin,AGT,angII,angII_norm,diacid,ang17,at1r,at2r,ACE2,IR
0.0,351033.40604757617,0.0,9888.0,902590000000.0,0.021000000001940005,0.0999904835224872,0.0,9.857999999999999,16.199999999999996,5.4,0.3850817669777473,0.3850817669777473
0.002,2637755.673074331,61.64077945213061,9885.053125066508,6660564011407.698,0.0635809552964683,0.3027376410632474,3.5522360726030593,9.255719523500387,13.853616617451921,4.624787181081359,0.37895098829801943,0.4196168663919656
0.004,4917436.596416014,75.42450794933639,9879.54790856616,12381416696217.496,0.07704066175659512,0.36682538186774716,6.828923380134314,8.740501664611596,11.93658955401431,3.995165318875587,0.37303792530767904,0.45421501415003035
0.006000000000000001,7182828.3148418665,81.51946015006115,9873.439439391988,18065387647854.61,0.08492404528246016,0.40436173093782496,9.850990365547128,8.306187751160008,10.342123850974371,3.4730845072261247,0.36727019121937077,0.48886461562227007
0.008,9433785.711664211,84.95084284334587,9867.188547373711,23712714615719.645,0.0909556434015775,0.4330808934277369,12.63777663943481,7.947210203174405,9.011663091754325,3.038559378383667,0.3616300871294906,0.5235548165721402
0.01,11670302.96873833,87.14651164575045,9860.963207365583,29323633835653.305,0.09616802978854136,0.4578994189082322,15.207153598812198,7.6583924657025015,7.90115368639411,2.676791930457529,0.3561095478821748,0.5582755859604895
0.012000000000000002,13892439.122922309,88.66807254449985,9854.827798207793,34898380025459.824,0.10097466606464141,0.48078598487583085,17.575635888929174,7.43490379813534,6.975202603440563,2.375985490873314,0.3507038191573621,0.5930176879886078
0.014,16100271.222520735,89.7814562818142,9848.80473287449,40437186390030.12,0.10555478028350447,0.5025939770324989,19.758484403281905,7.272229721420051,6.204562718087932,2.126430655557977,0.3454095086292346,0.6277726324698293
0.016,18293882.61373072,90.62892607125737,9842.894970428466,45940284630387.19,0.11001386458975787,0.5238256911186236,21.769801464213106,7.16615079885772,5.564899058741833,1.9200705028851635,0.34022396842653846,0.6625326259777528
0.018,20473360.21774264,91.29350098752508,9837.086898093497,51407904952287.41,0.11440472880720007,0.5447325785540081,23.622618777724377,7.112725526926506,5.0359992778524045,1.7502280402308625,0.3351450405972602,0.6972905287307416
